EEBO,Author
99853489,"Goodcole
99852787,"Goodcole
99853490,"Jonson
99839020,"Goodman
99853491,"Goodman
99838992,"Goodman
99841494,"Goodman
99839002,"Goodwin
99839019,"Goodwin
99852789,"Goodwin
34382691,"Goodwin
99841481,"Goodwin
99842157,"Googe
99855531,"Googe
99839066,"Chapman
99853174,"Gordon
29700936,"Gordon
99839097,"Gordon
99854153,"Gordon
99853176,"Gordon
99841490,"Gordon
99839099,"Gordon
99841486,"Gordon
99840193,"Bainbridge
99855722,"Gore
99839085,"Gore
99839086,"Gore
99841482,"Watson
29689239,"Gossenius
99856055,"Rivet
99841483,"Gosson
99841495,"Gosson
99899035,"Gosson
99847712,"Gosson
22667831,"Adams
99840271,"Baker
99839084,"Gostwick
99841496,"Gosynhyll
99841498,"Gosynhyll
99839062,"Gouge
99839036,"Finch
99839040,"Gouge
99839041,"Gouge
99839043,"Gouge
99839061,"Gouge
99839063,"Gouge
99839065,"Gouge
99853500,"Gouge
99853903,"Gough
99841503,"Erasmus
99839104,"J. G. (John Gough)
99839112,"Goulart
99839113,"Goulart
99845513,"Joannes
99850075,"Lydgate
99839114,"Gower
99842270,"Gower
99839115,"GraciÃ¡n Dantisco
99850887,"Grafton
99839139,"Grahame
99852486,"Graile
33143144,"Mason
99841502,"Grange
99848073,"Granger
99856534,"Granger
99839140,"Granger
99839141,"Granger
99850204,"Granger
99856954,"Granger
99853755,"Granger
99845983,"Baker
99839143,"Grassi
99853185,"Gratarolo
99841519,"Gratarolo
99853188,"Vennecool
99841505,"Dekker
99836258,"Adams
99839157,"Gray
99855599,"Gray
99841565,"Gray
29632447,"Gray
29632811,"Gray
99841552,"Greene
99841612,"Greene
99841617,"Greene
99841555,"Greene
99841619,"Greene
99841622,"Greene
99836370,"Baker
99841625,"Greene
99841634,"Greene
99849123,"Greene
99841635,"Greene
99841687,"Greene
99853697,"Rowlands
99852791,"Greene
99853595,"Greene
99841558,"Greene
99839163,"Rich
99839164,"Greene
99841550,"Greene
99841543,"Greene
99841549,"Greene
99841691,"Greene
99841693,"Greene
99839176,"Greene
99854954,"Greene
24510241,"Greene
99841534,"Greene
99839166,"Greene
99841540,"Greene
99841539,"Greene
99841560,"Greene
99841561,"Greene
99844244,"Greene
99836396,"Baker
99839167,"Greene
99839178,"Greene
99841538,"Greene
99841596,"Greene
99841567,"Greene
99841595,"Greene
99841591,"Greene
99854955,"Greene
99841537,"Rinaldi
99841536,"Greene
99836397,"Baker
99841574,"Greene
99841535,"Greene
99856036,"Greenham
99853104,"Greenham
99839172,"Greenham
99855534,"Greenham
99851918,"Greenham
99850876,"Greenham
99836371,"Balbani
99854166,"Greenwood
99854253,"Greenwood
99855674,"Greenwood
99854255,"Greenwood
99839174,"Greenwood
99839175,"Greenwood
99853669,"Throckmorton
99841500,"Greepe
24154051,"Gregory
24157018,"Greene
99841601,"Chettle
99853506,"Grent
99856030,"Greville
99839185,"Greville
99850879,"Gribaldi
99840578,"Griffin
99836376,"Balcanquhall
24512933,"Griffith
99842442,"GoÅ›licki
99855993,"Le Petit
